genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
1,Ms. Lauryn Hill,Nothing Even Matters,63,0.701,0.539,350533,0.363,3.18e-06,10,0.14,-13.888,0,0.166,136,4,0.549,0
1,Jorja Smith,Where Did I Go?,67,0.365,0.714,191992,0.59,0.167,5,0.0844,-9.849,1,0.0812,97,4,0.357,1
1,Mariah Carey,My All,62,0.732,0.4,230933,0.317,5.03e-05,7,0.086,-10.249,0,0.0317,108,4,0.108,2
1,Jason Derulo,Tip Toe (feat. French Montana),76,0.0233,0.845,187521,0.709,0.0,10,0.094,-4.547,0,0.0714,98,4,0.62,3
1,August Alsina,Kissin' On My Tattoos,63,0.00648,0.577,251893,0.625,0.0,2,0.364,-8.346,0,0.0423,120,4,0.184,4
1,Golden Vessel,Shoulders,62,0.108,0.746,200387,0.571,0.00143,11,0.178,-5.276,0,0.0984,82,4,0.45,5
1,Greeicy,Más Fuerte,70,0.101,0.83,184627,0.801,9.98e-05,11,0.136,-4.413,0,0.0761,92,4,0.492,6
1,Tom Misch,Beautiful Escape,66,0.0684,0.944,276785,0.514,0.00209,5,0.103,-7.895,1,0.195,120,4,0.331,7
1,Elder Island,Bamboo,66,0.404,0.554,262651,0.573,6.11e-05,1,0.137,-8.266,0,0.0662,115,4,0.298,8
1,Charli XCX,Boys,72,0.0646,0.867,162586,0.545,0.000289,2,0.0505,-5.192,1,0.0625,140,4,0.525,9
1,Beyoncé,1+1,62,0.381,0.303,273880,0.384,5.14e-06,6,0.0661,-7.342,1,0.0339,63,5,0.261,10
1,Klyne,Your Touch,62,0.0525,0.805,208265,0.635,0.000166,1,0.0994,-5.596,1,0.0414,117,4,0.467,11
1,Rihanna,Stay - Album Version (Edited),66,0.945,0.621,240707,0.31,6.12e-05,9,0.117,-10.164,0,0.0283,112,4,0.125,12
1,John Legend,Tonight (Best You Ever Had),63,0.0496,0.693,239453,0.813,0.0,7,0.289,-4.361,0,0.066,90,4,0.515,13
1,SZA,20 Something,65,0.738,0.566,198160,0.296,0.0,11,0.054,-8.615,1,0.273,80,3,0.505,14
1,Bryson Tiller,Rambo,63,0.309,0.635,223480,0.562,2.01e-06,10,0.11,-8.92,0,0.168,181,4,0.288,15
1,Jorja Smith,The One,66,0.252,0.312,197575,0.661,0.000135,0,0.102,-8.508,0,0.092,82,4,0.443,16
1,702,Where My Girls At,65,0.0373,0.719,166693,0.736,0.0028,6,0.193,-7.517,1,0.052,92,4,0.757,17
1,MIKExANGEL,Complicated,64,0.107,0.577,192984,0.516,0.0,9,0.325,-7.616,1,0.259,118,4,0.343,18
1,Frank Ocean,Seigfried,66,0.975,0.377,334570,0.255,0.000208,4,0.102,-11.165,0,0.0387,125,5,0.37,19
1,Beyoncé,Dance for You,66,0.0322,0.616,377467,0.78,0.0,2,0.173,-6.062,1,0.0623,110,4,0.471,20
1,Tom Misch,South of the River,63,0.0957,0.845,269815,0.57,0.414,0,0.0813,-8.441,1,0.0802,113,4,0.466,21
1,Kiana Ledé,Wicked Games,62,0.447,0.789,181267,0.435,0.0,1,0.135,-7.042,0,0.0599,73,3,0.456,22
1,Loco,Say Yes,62,0.353,0.685,218897,0.777,0.0,1,0.329,-4.654,0,0.063,95,4,0.417,23
1,Doja Cat,Go To Town,64,0.0716,0.71,217813,0.71,1.07e-06,0,0.206,-2.474,1,0.0579,170,4,0.7,24
1,John Legend,All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,65,0.000151,0.606,251613,0.72,0.00165,5,0.0745,-6.253,0,0.0283,128,4,0.179,25
1,JP Saxe,The Few Things,64,0.601,0.536,244355,0.322,2.26e-05,7,0.113,-12.834,1,0.0621,136,4,0.236,26
1,The Weeknd,Prisoner,66,0.441,0.55,274960,0.404,0.00022,0,0.11,-12.755,0,0.0398,135,4,0.329,27
1,GoldLink,Got Friends,67,0.104,0.691,226963,0.75,0.0,10,0.123,-3.934,0,0.347,144,4,0.345,28
1,Sisqo,Incomplete,62,0.282,0.75,274227,0.446,0.0,1,0.119,-8.059,0,0.0759,119,4,0.291,29
1,Ella Mai,Naked - Bonus Track,73,0.782,0.356,197183,0.388,0.0,9,0.109,-8.532,1,0.0652,175,4,0.573,30
1,ROSALÍA,DI MI NOMBRE - Cap.8: Éxtasis,72,0.885,0.794,162377,0.534,5.18e-05,8,0.314,-6.47,0,0.131,92,4,0.547,31
1,Crush,Beautiful,66,0.842,0.524,227584,0.405,0.0,10,0.107,-6.145,1,0.028,110,4,0.237,32
1,Tom Misch,Disco Yes,66,0.42,0.927,280878,0.551,0.0346,9,0.298,-6.624,0,0.0921,123,4,0.665,33
1,Rels B,Reina de Pikas,65,0.378,0.891,191771,0.385,0.125,10,0.0905,-8.821,0,0.27,93,4,0.417,34
1,Roy Woods,Down Girl,64,0.308,0.797,169604,0.507,0.0,1,0.108,-9.214,1,0.0694,102,4,0.447,35
1,Jason Derulo,Ridin' Solo,63,0.128,0.442,215747,0.83,0.0,9,0.129,-4.02,1,0.146,89,4,0.578,36
1,Usher,OMG (feat. will.i.am),70,0.198,0.781,269493,0.745,1.14e-05,4,0.36,-5.81,0,0.0332,130,4,0.326,37
1,The Weeknd,As You Are,64,0.131,0.371,340493,0.329,0.00625,0,0.279,-9.667,0,0.0574,174,4,0.0539,38
1,Jorja Smith,Don't Watch Me Cry,70,0.887,0.559,190430,0.157,0.0,1,0.107,-10.132,1,0.0414,131,4,0.348,39
1,Beyoncé,Broken-Hearted Girl,63,0.503,0.336,277627,0.424,0.0,5,0.273,-7.203,1,0.0353,82,4,0.159,40
1,Jacquees,Inside feat. Trey Songz,64,0.0163,0.71,248467,0.578,0.0,11,0.246,-5.84,0,0.0604,126,4,0.512,41
1,Bruno Major,Fair-Weather Friend,64,0.56,0.68,186713,0.34,0.0021,6,0.0705,-6.985,1,0.115,131,3,0.391,42
1,Tory Lanez,I Sip,65,0.245,0.625,196436,0.548,0.0,5,0.111,-11.189,0,0.365,100,4,0.517,43
1,Wale,Lotus Flower Bomb (feat. Miguel),65,0.611,0.512,213253,0.598,0.0,9,0.0881,-4.959,0,0.115,70,4,0.345,44
1,Rels B,Vamos a Mirarnos,64,0.367,0.778,243291,0.514,3.61e-06,2,0.108,-10.663,0,0.478,160,4,0.148,45
1,Yo Trane,High off You,62,0.472,0.631,179293,0.319,0.0,0,0.303,-13.056,0,0.315,80,4,0.345,46
1,Loyle Carner,Ain't Nothing Changed,62,0.505,0.753,194427,0.663,0.0598,8,0.115,-8.073,1,0.176,90,4,0.149,47
1,Demi Lovato,You Don't Do It For Me Anymore,66,0.0978,0.583,197720,0.435,0.0,5,0.0763,-6.389,0,0.0478,128,3,0.129,48
1,Roy Woods,Get You Good,68,0.0306,0.69,226632,0.502,0.0,0,0.145,-7.077,0,0.0638,86,4,0.329,49
1,James Blake,Power On,65,0.849,0.649,246400,0.468,0.00706,2,0.106,-10.951,1,0.0447,92,4,0.618,50
1,Ne-Yo,Sexy Love,68,0.265,0.622,220853,0.503,0.000473,8,0.0596,-6.417,1,0.0433,94,4,0.58,51
1,Mariah Carey,Hero,71,0.735,0.501,257733,0.378,0.0,4,0.119,-9.37,1,0.029,120,4,0.178,52
1,SZA,Prom,64,0.0658,0.805,196133,0.702,0.0,1,0.123,-4.877,1,0.0887,120,4,0.225,53
1,Daniel Caesar,Violet,62,0.748,0.688,144000,0.425,0.00548,4,0.101,-8.134,0,0.027,130,4,0.179,54
1,Rels B,A Mí,73,0.241,0.846,209680,0.548,0.0713,1,0.0419,-6.397,1,0.256,95,4,0.516,55
1,ROSALÍA,A NINGÚN HOMBRE - Cap.11: Poder,62,0.942,0.555,94224,0.149,0.0,0,0.135,-6.599,1,0.0413,108,5,0.408,56
1,The Weeknd,Twenty Eight,63,0.574,0.639,258453,0.633,0.000218,3,0.111,-7.338,0,0.0352,130,4,0.243,57
1,Olivia O'Brien,Love Myself,68,0.596,0.653,213947,0.621,0.0,11,0.0811,-5.721,0,0.0409,100,4,0.466,58
1,Jarreau Vandal,Someone That You Love,64,0.558,0.737,177063,0.429,0.0,4,0.142,-8.261,1,0.0665,105,4,0.44,59
1,Macy Gray,I Try,73,0.313,0.593,239440,0.642,0.000582,2,0.0804,-7.284,1,0.0299,76,4,0.736,60
1,All-4-One,I Can Love You Like That,66,0.0811,0.635,257960,0.712,0.0,8,0.322,-4.998,1,0.0283,91,4,0.423,61
1,Jagged Edge,Where the Party At,70,0.31,0.596,232573,0.661,0.0,5,0.0847,-6.239,0,0.226,129,5,0.86,62
1,Roy Woods,Snow White,67,0.195,0.782,261835,0.559,2.11e-06,0,0.112,-7.955,0,0.046,88,4,0.199,63
1,Mase,What You Want (feat. Total),66,0.0312,0.838,242947,0.72,1.11e-05,10,0.422,-6.593,0,0.384,94,4,0.845,64
1,James Vickery,Until Morning,62,0.125,0.549,196625,0.414,0.0,1,0.112,-9.55,0,0.0556,86,4,0.491,65
