genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,item_id
R&B,Olivia O'Brien,Love Myself,68,0.596,0.653,213947,0.621,0.0,B,0.0811,-5.721,Minor,0.0409,100.006,4/4,0.466,58
R&B,Frank Ocean,Seigfried,66,0.975,0.377,334570,0.255,0.000208,E,0.102,-11.165,Minor,0.0387,125.004,5/4,0.37,19
R&B,Usher,You Make Me Wanna...,69,0.0359,0.761,219120,0.639,0.0,F,0.0945,-7.577,Minor,0.0539,164.088,4/4,0.922,90
R&B,Mariah Carey,Hero,71,0.735,0.501,257733,0.378,0.0,E,0.119,-9.37,Major,0.029,119.987,4/4,0.178,52
R&B,Jason Derulo,Tip Toe (feat. French Montana),76,0.0233,0.845,187521,0.709,0.0,A#,0.094,-4.547,Minor,0.0714,98.062,4/4,0.62,3
R&B,Roy Woods,Get You Good,68,0.0306,0.69,226632,0.502,0.0,C,0.145,-7.077,Minor,0.0638,86.185,4/4,0.329,49
R&B,Tove Lo,Habits (Stay High),67,0.0703,0.733,209160,0.65,6.59e-05,F,0.0829,-3.539,Major,0.0315,110.003,4/4,0.348,67
R&B,Miguel,Remember Me (Dúo),66,0.426,0.612,164453,0.548,0.0,C,0.502,-6.71,Major,0.0351,84.991,4/4,0.617,93
R&B,PARTYNEXTDOOR,Wus Good / Curious,67,0.0727,0.344,212880,0.537,0.000127,G#,0.225,-8.215,Minor,0.079,82.878,5/4,0.453,68
R&B,MIKExANGEL,Complicated,64,0.107,0.577,192984,0.516,0.0,A,0.325,-7.616,Major,0.259,118.364,4/4,0.343,18
R&B,Dreezy,Body,62,0.552,0.735,232707,0.567,0.0,C,0.0659,-5.962,Major,0.0635,149.968,4/4,0.574,92
R&B,PJ Morton,Say So (feat. JoJo),63,0.591,0.502,212973,0.409,0.0,C,0.113,-7.581,Major,0.0512,75.231,4/4,0.234,81
R&B,Usher,OMG (feat. will.i.am),70,0.198,0.781,269493,0.745,1.14e-05,E,0.36,-5.81,Minor,0.0332,129.998,4/4,0.326,37
R&B,Jacquees,Inside feat. Trey Songz,64,0.0163,0.71,248467,0.578,0.0,B,0.246,-5.84,Minor,0.0604,125.969,4/4,0.512,41
R&B,Wale,Lotus Flower Bomb (feat. Miguel),65,0.611,0.512,213253,0.598,0.0,A,0.0881,-4.959,Minor,0.115,70.189,4/4,0.345,44
R&B,Kiana Ledé,Wicked Games,62,0.447,0.789,181267,0.435,0.0,C#,0.135,-7.042,Minor,0.0599,72.973,3/4,0.456,22
R&B,Jason Derulo,Ridin' Solo,63,0.128,0.442,215747,0.83,0.0,A,0.129,-4.02,Major,0.146,89.338,4/4,0.578,36
R&B,DJ Khaled,All I Do Is Win,70,0.0104,0.549,227293,0.791,0.0,A#,0.444,-3.535,Major,0.133,150.094,4/4,0.293,96
R&B,Demi Lovato,You Don't Do It For Me Anymore,66,0.0978,0.583,197720,0.435,0.0,F,0.0763,-6.389,Minor,0.0478,128.035,3/4,0.129,48
R&B,Mario,How Do I Breathe,67,0.215,0.684,216893,0.455,1.08e-06,F,0.263,-8.216,Major,0.0307,97.956,4/4,0.487,88
R&B,Jagged Edge,Where the Party At,70,0.31,0.596,232573,0.661,0.0,F,0.0847,-6.239,Minor,0.226,129.491,5/4,0.86,62
R&B,GoldLink,Got Friends,67,0.104,0.691,226963,0.75,0.0,A#,0.123,-3.934,Minor,0.347,143.744,4/4,0.345,28
R&B,Jarreau Vandal,Someone That You Love,64,0.558,0.737,177063,0.429,0.0,E,0.142,-8.261,Major,0.0665,105.059,4/4,0.44,59
R&B,BJ The Chicago Kid,Roses,64,0.38,0.655,181144,0.597,0.0,C,0.11,-7.269,Minor,0.0912,110.01,4/4,0.219,72
R&B,SZA,Prom,64,0.0658,0.805,196133,0.702,0.0,C#,0.123,-4.877,Major,0.0887,120.041,4/4,0.225,53
R&B,James Blake,Power On,65,0.849,0.649,246400,0.468,0.00706,D,0.106,-10.951,Major,0.0447,92.489,4/4,0.618,50
R&B,Daniel Caesar,Violet,62,0.748,0.688,144000,0.425,0.00548,E,0.101,-8.134,Minor,0.027,129.975,4/4,0.179,54
R&B,Beyoncé,Dance for You,66,0.0322,0.616,377467,0.78,0.0,D,0.173,-6.062,Major,0.0623,110.005,4/4,0.471,20
R&B,Yo Trane,High off You,62,0.472,0.631,179293,0.319,0.0,C,0.303,-13.056,Minor,0.315,80.048,4/4,0.345,46
R&B,Ne-Yo,Sexy Love,68,0.265,0.622,220853,0.503,0.000473,G#,0.0596,-6.417,Major,0.0433,93.984,4/4,0.58,51
R&B,August Alsina,Kissin' On My Tattoos,63,0.00648,0.577,251893,0.625,0.0,D,0.364,-8.346,Minor,0.0423,120.133,4/4,0.184,4
R&B,Doja Cat,Go To Town,64,0.0716,0.71,217813,0.71,1.07e-06,C,0.206,-2.474,Major,0.0579,169.944,4/4,0.7,24
R&B,Charli XCX,Boys,72,0.0646,0.867,162586,0.545,0.000289,D,0.0505,-5.192,Major,0.0625,139.943,4/4,0.525,9
R&B,Tobi Lou,Buff Baby,62,0.19,0.736,215385,0.643,0.0,F,0.106,-8.636,Major,0.0461,156.002,4/4,0.599,76
R&B,Chris Brown,Back To Sleep,66,0.0424,0.647,201253,0.646,0.0,A,0.0888,-5.483,Minor,0.243,92.981,4/4,0.721,79
Alternative,Joji,YEAH RIGHT,76,0.619,0.672,174358,0.588,0.241,C#,0.0992,-9.573,Major,0.133,169.033,4/4,0.204,204
Alternative,Smash Mouth,All Star,78,0.0319,0.731,200373,0.861,0.0,B,0.0829,-5.881,Major,0.0323,104.034,4/4,0.78,265
Alternative,Jhene Aiko,Triggered (freestyle),73,0.81,0.471,211227,0.411,0.0,C,0.135,-9.5,Major,0.295,89.484,1/4,0.363,191
Alternative,Oliver Tree,Hurt,71,0.0209,0.561,145558,0.782,0.0,C,0.315,-5.863,Major,0.04,94.004,4/4,0.486,152
Alternative,Kid Rock,All Summer Long,72,0.0212,0.7,297587,0.864,0.0,G,0.0956,-3.629,Major,0.0283,102.997,4/4,0.887,306
Alternative,6LACK,Pretty Little Fears (feat. J. Cole),74,0.711,0.611,240342,0.466,0.000264,A,0.0847,-11.361,Major,0.372,192.08,4/4,0.223,193
Alternative,Foo Fighters,Everlong,74,5.96e-05,0.412,250547,0.882,0.00031,B,0.0805,-5.54,Minor,0.0369,158.066,4/4,0.356,287
Alternative,3 Doors Down,Kryptonite,75,0.00664,0.545,233933,0.865,1.12e-05,B,0.168,-5.708,Minor,0.0286,99.01,4/4,0.543,259
Alternative,The White Stripes,Seven Nation Army,72,0.00817,0.737,231733,0.463,0.447,C,0.255,-7.828,Major,0.0792,123.881,4/4,0.324,315
Alternative,MGMT,Electric Feel,74,0.0714,0.763,229640,0.807,0.28,C#,0.348,-3.714,Major,0.035,103.038,3/4,0.559,207
Alternative,The 1975,Somebody Else,71,0.202,0.611,347520,0.799,0.0277,C,0.123,-5.719,Major,0.0641,101.038,4/4,0.51,155
